Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.00     0.00      166     0.00     0.00  vp_alloc_raw
  0.00      2.00     0.00      166     0.00     0.00  vp_free_raw
  0.00      2.00     0.00      165     0.00     0.00  bc_exp5
  0.00      2.00     0.00      164     0.00     0.00  add_sym
  0.00      2.00     0.00      164     0.00     0.00  link_entry
  0.00      2.00     0.00      164     0.00     0.00  maybe_resize
  0.00      2.00     0.00      164     0.00     0.00  vp_entry_free
  0.00      2.00     0.00      164     0.00     0.00  vp_entry_init
  0.00      2.00     0.00      164     0.00     0.00  vp_entry_new
  0.00      2.00     0.00      158     0.00     0.00  bc_exp4
  0.00      2.00     0.00      158     0.00     0.00  is_value_starter
  0.00      2.00     0.00      135     0.00     0.00  add_const
  0.00      2.00     0.00      131     0.00     0.00  is_not_sign
  0.00      2.00     0.00      131     0.00     0.00  scan_operator
  0.00      2.00     0.00      129     0.00     0.00  bc_exp3
  0.00      2.00     0.00      111     0.00     0.00  bc_exp1
  0.00      2.00     0.00      111     0.00     0.00  bc_exp2
  0.00      2.00     0.00      110     0.00     0.00  bc_exp0
  0.00      2.00     0.00      100     0.00     0.00  unlink_entry
  0.00      2.00     0.00       98     0.00     0.00  bc_stmt
  0.00      2.00     0.00       98     0.00     0.00  tok_ends_clause
  0.00      2.00     0.00       95     0.00     0.00  skip_comment
  0.00      2.00     0.00       83     0.00     0.00  consume_eoc
  0.00      2.00     0.00       73     0.00     0.00  skip_eoc
  0.00      2.00     0.00       73     0.00     0.00  tok_is_cont_comma
  0.00      2.00     0.00       71     0.00     0.00  bc_expr
  0.00      2.00     0.00       64     0.00     0.00  try_parse_int_cache
  0.00      2.00     0.00       61     0.00     0.00  IRXBIFRG
  0.00      2.00     0.00       59     0.00     0.00  looks_like_number
  0.00      2.00     0.00       53     0.00     0.00  emit_i16
  0.00      2.00     0.00       52     0.00     0.00  scan_string
  0.00      2.00     0.00       49     0.00     0.00  emit_jmp_op
  0.00      2.00     0.00       44     0.00     0.00  emit_store
  0.00      2.00     0.00       42     0.00     0.00  is_kw_barrier
  0.00      2.00     0.00       40     0.00     0.00  emit_load
  0.00      2.00     0.00       40     0.00     0.00  patch_jmp_to_here
  0.00      2.00     0.00       40     0.00     0.00  toks_adjacent_bc
  0.00      2.00     0.00       30     0.00     0.00  make_do_sym
  0.00      2.00     0.00       27     0.00     0.00  bpse_emit_item
  0.00      2.00     0.00       22     0.00     0.00  C_say_bc
  0.00      2.00     0.00       21     0.00     0.00  consume_newline
  0.00      2.00     0.00       17     0.00     0.00  bpse_flush
  0.00      2.00     0.00       17     0.00     0.00  emit_push_int
  0.00      2.00     0.00       12     0.00     0.00  bc_compound_tails
  0.00      2.00     0.00       12     0.00     0.00  loop_patch_leaves
  0.00      2.00     0.00       12     0.00     0.00  loop_pop
  0.00      2.00     0.00       12     0.00     0.00  loop_push
  0.00      2.00     0.00       11     0.00     0.00  C_if_bc
  0.00      2.00     0.00       11     0.00     0.00  bc_funcall
  0.00      2.00     0.00       11     0.00     0.00  bc_parse_template
  0.00      2.00     0.00       11     0.00     0.00  loop_add_leave_patch
  0.00      2.00     0.00       10     0.00     0.00  C_do_bc
  0.00      2.00     0.00       10     0.00     0.00  bc_parse_stmt
  0.00      2.00     0.00       10     0.00     0.00  bc_stmts_until
  0.00      2.00     0.00       10     0.00     0.00  loop_set_iterate
  0.00      2.00     0.00        9     0.00     0.00  bc_count_parse_templates
  0.00      2.00     0.00        9     0.00     0.00  patch_jmp_to
  0.00      2.00     0.00        8     0.00     0.00  IRXBIFOW
  0.00      2.00     0.00        8     0.00     0.00  bif_require_digits_range
  0.00      2.00     0.00        8     0.00     0.00  emit_jmp_back
  0.00      2.00     0.00        7     0.00     0.00  irxinout_host
  0.00      2.00     0.00        7     0.00     0.00  stor_free
  0.00      2.00     0.00        5     0.00     0.00  emit_do_to_cond
  0.00      2.00     0.00        5     0.00     0.00  grow_tokens
  0.00      2.00     0.00        4     0.00     0.00  num_div_impl
  0.00      2.00     0.00        3     0.00     0.00  ANCHGET
  0.00      2.00     0.00        3     0.00     0.00  bc_call_stmt
  0.00      2.00     0.00        3     0.00     0.00  bc_trace_stmt
  0.00      2.00     0.00        3     0.00     0.00  grow_upbuf
  0.00      2.00     0.00        3     0.00     0.00  loop_find
  0.00      2.00     0.00        2     0.00     0.00  C_leave_bc
  0.00      2.00     0.00        2     0.00     0.00  C_select_bc
  0.00      2.00     0.00        2     0.00     0.00  IRXARIFM
  0.00      2.00     0.00        2     0.00     0.00  IRXCTLCL
  0.00      2.00     0.00        2     0.00     0.00  bc_push_arg_n
  0.00      2.00     0.00        2     0.00     0.00  bif_format
  0.00      2.00     0.00        2     0.00     0.00  num_round_to_exp
  0.00      2.00     0.00        1     0.00     0.00  ANCHALOC
  0.00      2.00     0.00        1     0.00     0.00  ANCHFENV
  0.00      2.00     0.00        1     0.00     0.00  ANCHFREE
  0.00      2.00     0.00        1     0.00     0.00  C_iterate_bc
  0.00      2.00     0.00        1     0.00     0.00  IRXBCOMP
  0.00      2.00     0.00        1     0.00     0.02  IRXBIFAL
  0.00      2.00     0.00        1     0.00     0.00  IRXBIFCR
  0.00      2.00     0.00        1     0.00     0.00  IRXBIFDS
  0.00      2.00     0.00        1     0.00     0.01  IRXBIFRT
  0.00      2.00     0.00        1     0.00     0.00  IRXIINIT
  0.00      2.00     0.00        1     0.00     0.02  IRXINITC
  0.00      2.00     0.00        1     0.00     0.00  IRXITERM
  0.00      2.00     0.00        1     0.00     0.00  IRXLSPTD
  0.00      2.00     0.00        1     0.00     0.00  IRXPARCL
  0.00      2.00     0.00        1     0.00     0.00  IRXTOKNF
  0.00      2.00     0.00        1     0.00     0.00  IRXTOKNR
  0.00      2.00     0.00        1     0.00     0.00  Lleft
  0.00      2.00     0.00        1     0.00     0.00  anchor_fetch_inc
  0.00      2.00     0.00        1     0.00     0.00  anchor_swap
  0.00      2.00     0.00        1     0.00     0.00  bc_address_stmt
  0.00      2.00     0.00        1     0.00     0.00  bc_program
  0.00      2.00     0.00        1     0.00     0.00  bc_return_stmt
  0.00      2.00     0.00        1     0.00     0.00  bc_signal_stmt
  0.00      2.00     0.00        1     0.00     0.00  bif_left
  0.00      2.00     0.00        1     0.00     0.00  host_anchor_init
  0.00      2.00     0.00        1     0.00     0.00  init_subcomtb
  0.00      2.00     0.00        1     0.00     0.00  init_wkblk_int
  0.00      2.00     0.00        1     0.00     1.95  irx_exec_run
  0.00      2.00     0.00        1     0.00     0.00  is_tso
  0.00      2.00     0.00        1     0.00     0.00  loop_add_iterate_patch
  0.00      2.00     0.00        1     0.00     0.00  read_file
  0.00      2.00     0.00        1     0.00     0.00  tokenize
  0.00      2.00     0.00        1     0.00     0.00  vp_alloc_buckets
  0.00      2.00     0.00        1     0.00     0.00  vp_free_exposed_stems
  0.00      2.00     0.00        1     0.00     0.00  vpool_create
  0.00      2.00     0.00        1     0.00     0.00  vpool_destroy
  0.00      2.00     0.00        1     0.00     0.00  wall_seconds

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2024 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.50% of 2.00 seconds

index % time    self  children    called     name
                0.00    1.95       1/1           main [2]
[1]     97.2    0.00    1.95       1         irx_exec_run [1]
                0.34    1.58       1/1           IRXBEXEC [3]
                0.00    0.02       1/1           IRXINITC [38]
                0.01    0.00       1/1           IRXTERMC [47]
